sale_id,sale_date,sub_total,tax,total_amount
5763728874,2020-10-03,12,0,12
5763729036,2020-10-03,72,0,72
5763728904,2020-10-03,24,0,24
5763728973,2020-10-03,96,0,96
5763728757,2020-10-03,108,0,108
5763729051,2020-10-03,144,0,144
5763729153,2020-10-03,24,0,24
5763728608,2020-10-03,96,0,96
5763728696,2020-10-03,84,0,84
5763728768,2020-10-03,24,0,24
5763728685,2020-10-03,96,0,96
5763728787,2020-10-03,84,0,84
5763729233,2020-10-03,36,0,36
5763729081,2020-10-03,24,0,24
5763728425,2020-10-03,36,0,36
5763728579,2020-10-03,48,0,48
5763728832,2020-10-03,24,0,24
5763728420,2020-10-03,24,0,24
5763728543,2020-10-03,36,0,36
5763728877,2020-10-03,108,0,108
5763728494,2020-10-03,48,0,48
5763729291,2020-10-03,84,0,84
5763728662,2020-10-03,48,0,48
5763728428,2020-10-03,72,0,72
5763728475,2020-10-03,48,0,48
5763728393,2020-10-03,48,0,48
5763728447,2020-10-03,120,0,120
5763729200,2020-10-03,12,0,12
5763728427,2020-10-03,24,0,24
5763729033,2020-10-03,84,0,84
5763728865,2020-10-03,72,0,72
5763728580,2020-10-03,12,0,12
5763729211,2020-10-03,48,0,48
5763728432,2020-10-03,96,0,96
5763729085,2020-10-03,96,0,96
5763729212,2020-10-03,48,0,48
5763728985,2020-10-03,96,0,96
5763728661,2020-10-03,72,0,72
5763728371,2020-10-03,48,0,48
5763729129,2020-10-03,36,0,36
5763728809,2020-10-03,84,0,84
5763728684,2020-10-03,24,0,24
5763728638,2020-10-03,48,0,48
5763729066,2020-10-03,24,0,24
5763728633,2020-10-03,36,0,36
5763728693,2020-10-03,96,0,96
5763728604,2020-10-03,84,0,84
5763729330,2020-10-03,12,0,12
5763728712,2020-10-03,132,0,132
5763728736,2020-10-03,72,0,72
5763728864,2020-10-03,108,0,108
5763728451,2020-10-03,36,0,36
5763729286,2020-10-03,144,0,144
5763728545,2020-10-03,96,0,96
5763729271,2020-10-03,96,0,96
5763729243,2020-10-03,120,0,120
5763729155,2020-10-03,12,0,12
5763729028,2020-10-03,132,0,132
5763729097,2020-10-03,108,0,108
5763729313,2020-10-03,84,0,84
5763729209,2020-10-03,72,0,72
5763728751,2020-10-03,72,0,72
5763728948,2020-10-03,132,0,132
5763729016,2020-10-03,132,0,132
5763728624,2020-10-03,108,0,108
5763728761,2020-10-03,24,0,24
5763729122,2020-10-03,84,0,84
5763728602,2020-10-03,60,0,60
5763729279,2020-10-03,96,0,96
5763728949,2020-10-03,12,0,12
5763729031,2020-10-03,24,0,24
5763728980,2020-10-03,108,0,108
5763728921,2020-10-03,48,0,48
5763728740,2020-10-03,48,0,48
5763729280,2020-10-03,72,0,72
5763728894,2020-10-03,144,0,144
5763728919,2020-10-03,120,0,120
5763728905,2020-10-03,72,0,72
5763728800,2020-10-03,24,0,24
5763728722,2020-10-03,72,0,72
5763728749,2020-10-03,84,0,84
5763729014,2020-10-03,48,0,48
5763728698,2020-10-03,24,0,24
5763728556,2020-10-03,48,0,48
5763728938,2020-10-03,12,0,12
5763728742,2020-10-03,96,0,96
5763728964,2020-10-03,24,0,24
5763728930,2020-10-03,24,0,24
5763728488,2020-10-03,36,0,36
5763728679,2020-10-03,120,0,120
5763728666,2020-10-03,120,0,120
5763729182,2020-10-03,48,0,48
5763728927,2020-10-03,72,0,72
5763729096,2020-10-03,48,0,48
5763729268,2020-10-03,84,0,84
5763729237,2020-10-03,60,0,60
5763728673,2020-10-03,48,0,48
